,título,The Golden Compass,El misterio del lobo blanco,Por el camino difícil,Conan (#1) El cimerio,Harry Potter and the Sorcerer's Stone,La música del adiós,La habitación cerrada,Rosas muertas,El rey marcado,El secreto de las gemelas,Maldito asfalto,Aniquilación,El poder del perro,Ripley en peligro,Miss Peregrine's Home for Peculiar Children
0,The Golden Compass,tensor(1.0000),tensor(0.9974),tensor(0.9981),tensor(0.9109),tensor(0.9981),tensor(0.9983),tensor(0.9988),tensor(0.9446),tensor(0.9972),tensor(0.9612),tensor(0.9978),tensor(0.9659),tensor(0.9988),tensor(0.9979),tensor(0.9979)
1,El misterio del lobo blanco,tensor(0.9974),tensor(1.),tensor(0.9975),tensor(0.9053),tensor(0.9944),tensor(0.9971),tensor(0.9976),tensor(0.9369),tensor(0.9976),tensor(0.9528),tensor(0.9951),tensor(0.9609),tensor(0.9969),tensor(0.9986),tensor(0.9982)
2,Por el camino difícil,tensor(0.9981),tensor(0.9975),tensor(1.0000),tensor(0.8957),tensor(0.9972),tensor(0.9991),tensor(0.9990),tensor(0.9328),tensor(0.9986),tensor(0.9501),tensor(0.9986),tensor(0.9559),tensor(0.9971),tensor(0.9987),tensor(0.9980)
3,Conan (#1) El cimerio,tensor(0.9109),tensor(0.9053),tensor(0.8957),tensor(1.),tensor(0.9058),tensor(0.8996),tensor(0.9037),tensor(0.9619),tensor(0.8906),tensor(0.9618),tensor(0.8923),tensor(0.9604),tensor(0.9128),tensor(0.9011),tensor(0.9033)
4,Harry Potter and the Sorcerer's Stone,tensor(0.9981),tensor(0.9944),tensor(0.9972),tensor(0.9058),tensor(1.),tensor(0.9977),tensor(0.9970),tensor(0.9397),tensor(0.9960),tensor(0.9575),tensor(0.9970),tensor(0.9608),tensor(0.9959),tensor(0.9962),tensor(0.9968)
5,La música del adiós,tensor(0.9983),tensor(0.9971),tensor(0.9991),tensor(0.8996),tensor(0.9977),tensor(1.0000),tensor(0.9992),tensor(0.9371),tensor(0.9975),tensor(0.9538),tensor(0.9980),tensor(0.9599),tensor(0.9969),tensor(0.9983),tensor(0.9973)
6,La habitación cerrada,tensor(0.9988),tensor(0.9976),tensor(0.9990),tensor(0.9037),tensor(0.9970),tensor(0.9992),tensor(1.),tensor(0.9396),tensor(0.9973),tensor(0.9552),tensor(0.9980),tensor(0.9616),tensor(0.9977),tensor(0.9987),tensor(0.9978)
7,Rosas muertas,tensor(0.9446),tensor(0.9369),tensor(0.9328),tensor(0.9619),tensor(0.9397),tensor(0.9371),tensor(0.9396),tensor(1.0000),tensor(0.9248),tensor(0.9921),tensor(0.9310),tensor(0.9934),tensor(0.9487),tensor(0.9336),tensor(0.9324)
8,El rey marcado,tensor(0.9972),tensor(0.9976),tensor(0.9986),tensor(0.8906),tensor(0.9960),tensor(0.9975),tensor(0.9973),tensor(0.9248),tensor(1.0000),tensor(0.9435),tensor(0.9976),tensor(0.9501),tensor(0.9957),tensor(0.9983),tensor(0.9982)
9,El secreto de las gemelas,tensor(0.9612),tensor(0.9528),tensor(0.9501),tensor(0.9618),tensor(0.9575),tensor(0.9538),tensor(0.9552),tensor(0.9921),tensor(0.9435),tensor(1.),tensor(0.9489),tensor(0.9940),tensor(0.9644),tensor(0.9509),tensor(0.9500)
10,Maldito asfalto,tensor(0.9978),tensor(0.9951),tensor(0.9986),tensor(0.8923),tensor(0.9970),tensor(0.9980),tensor(0.9980),tensor(0.9310),tensor(0.9976),tensor(0.9489),tensor(1.0000),tensor(0.9538),tensor(0.9972),tensor(0.9967),tensor(0.9964)
11,Aniquilación,tensor(0.9659),tensor(0.9609),tensor(0.9559),tensor(0.9604),tensor(0.9608),tensor(0.9599),tensor(0.9616),tensor(0.9934),tensor(0.9501),tensor(0.9940),tensor(0.9538),tensor(1.0000),tensor(0.9693),tensor(0.9580),tensor(0.9561)
12,El poder del perro,tensor(0.9988),tensor(0.9969),tensor(0.9972),tensor(0.9128),tensor(0.9959),tensor(0.9969),tensor(0.9977),tensor(0.9487),tensor(0.9957),tensor(0.9644),tensor(0.9972),tensor(0.9693),tensor(1.0000),tensor(0.9968),tensor(0.9962)
13,Ripley en peligro,tensor(0.9979),tensor(0.9986),tensor(0.9987),tensor(0.9011),tensor(0.9962),tensor(0.9983),tensor(0.9987),tensor(0.9336),tensor(0.9983),tensor(0.9509),tensor(0.9967),tensor(0.9580),tensor(0.9968),tensor(1.0000),tensor(0.9988)
14,Miss Peregrine's Home for Peculiar Children,tensor(0.9979),tensor(0.9982),tensor(0.9980),tensor(0.9033),tensor(0.9968),tensor(0.9973),tensor(0.9978),tensor(0.9324),tensor(0.9982),tensor(0.9500),tensor(0.9964),tensor(0.9561),tensor(0.9962),tensor(0.9988),tensor(1.0000)
